key,en,ru
WORLD_SIZE_SMALL,"Small","Маленький"
WORLD_SIZE_MEDIUM,"Medium","Средний"
WORLD_SIZE_LARGE,"Large","Большой"
WORLD_SIZE_XL,"Extra Large","Очень большой"
WORLD_SIZE_GIANT,"Giant","Гигантский"
GENERATING_WORLD,"Generating world...","Генерация мира..."
GENERATION_COMPLETE,"World generated!","Мир сгенерирован!"
DISTRICT_REGULAR,"Neon District","Неоновый район"
DISTRICT_WEALTHY,"Wealthy District","Элитный район"
FLOOR,"Floor","Этаж"
ROOM,"Room","Комнента"
VENT,"Ventilation","Вентиляция"
NAV_BAKING,"Baking navigation mesh...","Пропекание навигационной сетки..."
STEALTH_HIDDEN,"Hidden","Невидим"
STEALTH_SHADOWED,"In Shadow","В тени"
STEALTH_PARTIAL,"Partially Visible","Частично видим"
STEALTH_EXPOSED,"Exposed","Обнаружен"
NOISE_SILENT,"Silent","Тихо"
NOISE_QUIET,"Quiet","Тихо"
NOISE_LOUD,"Loud","Громко"
NOISE_VERY_LOUD,"Very Loud","Очень громко"
LOOT_COLLECTED,"Loot collected!","Лут собран!"
INTERACT_VENT,"[E] Enter Vent","[E] Войти в вентиляцию"
INTERACT_LOOT,"[E] Search","[E] Обыскать"
INTERACT_TERMINAL,"[E] Hack Terminal","[E] Взломать терминал"
INTERACT_PICKPOCKET,"[F] Pickpocket","[F] Обокрасть"
HACK_IN_PROGRESS,"Hacking...","Взлом..."
HACK_COMPLETE,"Access granted!","Доступ получен!"
HACK_FAILED,"Access denied!","Доступ отклонён!"
EMP_ACTIVATED,"EMP activated!","ЭМП активирован!"
EMP_COOLDOWN,"EMP cooling down...","ЭМП перезаряжается..."
ALARM_LOW,"Security alert!","Тревога!"
ALARM_MEDIUM,"Elevated alert!","Повышенная тревога!"
ALARM_HIGH,"High alert!","Высокая тревога!"
ALARM_LOCKDOWN,"LOCKDOWN!","БЛОКИРОВКА!"
CAMERA_DISABLED,"Camera disabled","Камера отключена"
GUARD_CHASE,"Guard chasing!","Охранник преследует!"
PICKPOCKET_SUCCESS,"Pickpocket successful!","Карманный взлом!"
PICKPOCKET_FAILED,"Pickpocket failed!","Не удалось обокрасть!"
PICKPOCKET_DETECTED,"You've been detected!","Вы обнаружен!"
SETTINGS_GRAPHICS,"Graphics Settings","Настройки графики"
SETTINGS_AUDIO,"Audio Settings","Настройки звука"
SETTINGS_LANGUAGE,"Language","Язык"
PRESET_POTATO,"Potato","Картошка"
PRESET_LOW,"Low","Низкие"
PRESET_MEDIUM,"Medium","Средние"
PRESET_HIGH,"High","Высокие"
PRESET_ULTRA,"Ultra","Ультра"
DIALOGUE_BRIBE,"Bribe","Взятка"
DIALOGUE_DECEIVE,"Deceive","Обман"
DIALOGUE_THREATEN,"Threaten","Угроза"
DIALOGUE_LEAVE,"Leave","Уйти"
ASSET_LOADING,"Loading assets...","Загрузка ресурсов..."
AUDIO_STATE_EXPLORE,"Exploration","Исследование"
AUDIO_STATE_ALERT,"Alert","Тревога"
AUDIO_STATE_CHASE,"Chase","Погоня"
AUDIO_STATE_STEALTH,"Stealth","Скрытность"
CITIZEN_SLEEPING,"Sleeping","Спит"
CITIZEN_WORKING,"Working","Работает"
CITIZEN_COMMUTE,"Commuting","Едет на работу"
CITIZEN_HOME,"At home","Дома"
CITIZEN_FLEE,"Fleeing","Бежит"
POLICE_DISPATCHED,"Police dispatched!","Полиция вызвана!"
POLICE_SEARCH,"Police searching...","Полиция ищет..."
BLACKMARKET_SELL,"Sell","Продать"
BLACKMARKET_BUY,"Buy","Купить"
BLACKMARKET_STOCK,"Stock","Товар"
BLACKMAIL_FOUND,"Blackmail found!","Найден компромат!"
BLACKMAIL_USED,"Blackmail used!","Компромат использован!"
WANTED_NONE,"Not wanted","Не в розыске"
WANTED_MINOR,"Minor offense","Мелкое преступление"
WANTED_SERIOUS,"Serious crime","Серьёзное преступление"
WANTED_FUGITIVE,"FUGITIVE","БЕГЛЕЦ"
MENU_NEW_GAME,"New Game","Новая игра"
MENU_LOAD_GAME,"Load Game","Загрузить игру"
MENU_SETTINGS,"Settings","Настройки"
MENU_EXIT,"Exit","Выход"
MENU_WORLD_SIZE,"World Size","Размер мира"
HUD_HEALTH,"Health","Здоровье"
HUD_STAMINA,"Stamina","Выносливость"
HUD_STEALTH,"Stealth","Скрытность"
HUD_WALLET,"Cash","Наличные"
HUD_NOISE,"Noise","Шум"
INVENTORY_TITLE,"INVENTORY","ИНВЕНТАРЬ"
INVENTORY_EQUIPPED,"EQUIPPED","ЭКИПИРОВКА"
INVENTORY_INFO,"ITEM INFO","ИНФО ПРЕДМЕТА"
INVENTORY_TOTAL,"Total Value","Общая стоимость"
SAVE_SAVING,"Saving...","Сохранение..."
SAVE_LOADED,"Game loaded!","Игра загружена!"
SAVE_FAILED,"Save failed!","Ошибка сохранения!"
PERF_FPS,"FPS: ","FPS: "
PERF_DRAWS,"Draw Calls: ","Вызовы отрисовки: "
PERF_MEMORY,"Memory: ","Память: "
OPT_MERGING,"Merging meshes...","Объединение мешей..."
OPT_BAKING,"Baking navigation...","Пропекание навигации..."
OPT_DONE,"Optimization complete!","Оптимизация завершена!"
FSR_TITLE,"AMD FSR 2.2","AMD FSR 2.2"
FSR_OFF,"Off","Выкл"
FSR_ULTRA_QUALITY,"Ultra Quality (77%)","Ultra Quality (77%)"
FSR_QUALITY,"Quality (67%)","Quality (67%)"
FSR_BALANCED,"Balanced (59%)","Balanced (59%)"
FSR_PERFORMANCE,"Performance (50%)","Performance (50%)"
TAKEDOWN_PROMPT,"[G] Takedown","[G] Обезвредить"
TAKEDOWN_SUCCESS,"Target knocked out!","Цель обезврежена!"
TAKEDOWN_FAILED,"Cannot takedown","Невозможно обезвредить"
TAKEDOWN_WITNESSES,"Witnesses nearby!","Свидетели рядом!"
BODY_PICKUP,"[H] Pick up body","[H] Поднять тело"
BODY_DROP,"[H] Drop body","[H] Бросить тело"
BODY_HIDE_VENT,"[H] Hide in vent","[H] Спрятать в вентиляцию"
BODY_HIDE_DUMPSTER,"[H] Hide in dumpster","[H] Спрятать в мусорку"
BODY_HIDDEN,"Body hidden!","Тело спрятано!"
WITNESS_PANIC,"Someone saw you!","Кто-то вас видел!"
WITNESS_SCREAM,"Aaaah!","Аааа!"
POLICE_CALLED,"Police have been called!","Полиция вызвана!"
PANIC_FLEE,"Witnesses are fleeing!","Свидетели убегают!"
